,dong.x,totprice,rentprice,dongcode,csvcount,supermarketcount,flotingpop
1,가회동,2272087736,145586,11110600,8,34,5358870
2,광희동,14005159686,189141,11140590,48,207,27830087
3,교남동,4091010629,202561,11110580,15,9,7875589
4,다산동,6619925660,108725,11140625,18,29,8631185
5,동화동,2535593585,130071,11140665,14,16,5091493
6,명동,29269237044,263898,11140550,91,175,49581287
7,무악동,1387391069,144527,11110570,5,7,2792681
8,부암동,3911023956,95828,11110550,15,15,6427436
9,사직동,9863280440,148404,11110530,28,65,26908598
10,삼청동,2560141069,214513,11110540,7,38,6874883
11,소공동,12990190503,197409,11140520,53,49,40751785
12,숭인1동,1525510566,209853,11110700,7,9,5923456
13,숭인2동,5788059497,151725,11110710,28,40,13146845
14,신당5동,2475137296,140215,11140650,10,23,4502398
15,신당동,9062022006,336315,11140615,35,121,22968488
16,약수동,4099553208,141717,11140635,12,16,9998588
17,을지로동,7212364025,191731,11140605,34,135,19514422
18,이화동,9747114151,195935,11110640,22,32,22029096
19,장충동,3927657673,90678,11140580,17,15,17582342
20,종로1.2.3.4가동,36021429484,256719,11110615,117,264,65487507
21,종로5.6가동,6645655912,250117,11110630,26,114,16246591
22,중림동,4096985346,158501,11140680,14,26,13181945
23,창신1동,3489988302,187380,11110670,11,42,7036303
24,창신2동,1743754654,87622,11110680,3,26,2427045
25,창신3동,919522452.8,76336,11110690,3,10,1657233
26,청구동,1950107421,125751,11140645,7,15,5998428
27,청운효자동,2393725660,149361,11110515,12,33,10053944
28,평창동,2754756918,116378,11110560,16,22,8755771
29,필동,8789035975,136296,11140570,33,39,19552084
30,혜화동,17270405572,170041,11110650,38,46,17999876
31,황학동,3921043585,146766,11140670,14,43,6472890
32,회현동,12275654654,392637,11140540,45,324,40592235
