dong,rentprice,dongcode,,,,,,,,,,,
청운효자동,"149,361",11110515,,,,,,,,,,,
가회동,"145,586",11110600,,,,,,,,,,,
교남동,"202,561",11110580,,,,,,,,,,,
무악동,"144,527",11110570,,,,,,,,,,,
부암동,"95,828",11110550,,,,,,,,,,,
사직동,"148,404",11110530,,,,,,,,,,,
삼청동,"214,513",11110540,,,,,,,,,,,
숭인1동,"209,853",11110700,,,,,,,,,,,
숭인2동,"151,725",11110710,,,,,,,,,,,
이화동,"195,935",11110640,,,,,,,,,,,
종로1.2.3.4가동,"256,719",11110615,,,,,,,,,,,
종로5.6가동,"250,117",11110630,,,,,,,,,,,
창신1동,"187,380",11110670,,,,,,,,,,,
창신2동,"87,622",11110680,,,,,,,,,,,
창신3동,"76,336",11110690,,,,,,,,,,,
평창동,"116,378",11110560,,,,,,,,,,,
혜화동,"170,041",11110650,,,,,,,,,,,
소공동,"197,409",11140520,,,,,,,,,,,
광희동,"189,141",11140590,,,,,,,,,,,
다산동,"108,725",11140625,,,,,,,,,,,
동화동,"130,071",11140665,,,,,,,,,,,
명동,"263,898",11140550,,,,,,,,,,,
신당5동,"140,215",11140650,,,,,,,,,,,
신당동,"336,315",11140615,,,,,,,,,,,
약수동,"141,717",11140635,,,,,,,,,,,
을지로동,"191,731",11140605,,,,,,,,,,,
장충동,"90,678",11140580,,,,,,,,,,,
중림동,"158,501",11140680,,,,,,,,,,,
청구동,"125,751",11140645,,,,,,,,,,,
필동,"136,296",11140570,,,,,,,,,,,
황학동,"146,766",11140670,,,,,,,,,,,
회현동,"392,637",11140540,,,,,,,,,,,
