dongcode,dong,supermarketcount
11110600,가회동,34
11110580,교남동,9
11110570,무악동,7
11110550,부암동,15
11110530,사직동,65
11110540,삼청동,38
11110700,숭인1동,9
11110710,숭인2동,40
11110640,이화동,32
11110615,종로1.2.3.4가동,264
11110630,종로5.6가동,114
11110670,창신1동,42
11110680,창신2동,26
11110690,창신3동,10
11110515,청운효자동,33
11110560,평창동,22
11110650,혜화동,46
11140590,광희동,207
11140625,다산동,29
11140665,동화동,16
11140550,명동,175
11140520,소공동,49
11140650,신당5동,23
11140615,신당동,121
11140635,약수동,16
11140605,을지로동,135
11140580,장충동,15
11140680,중림동,26
11140645,청구동,15
11140570,필동,39
11140670,황학동,43
11140540,회현동,324
