,dongcode,dong,totprice,rentprice,csvcount,supermarketcount,udong,mangocnt,cluster_id
0,11110600,가회동,2272087735.84906,145586,8,34,20375931.5589354,19504,0
1,11140590,광희동,14005159685.5346,189141,48,207,105817821.292776,64087,2
2,11110580,교남동,4091010628.93082,202561,15,9,29945205.3231939,39847,0
3,11140625,다산동,6619925660.37736,108725,18,29,32818193.9163498,112750,3
4,11140665,동화동,2535593584.90566,130071,14,16,19359288.973384,112750,0
5,11140550,명동,29269237044.0252,263898,91,175,188522003.802281,684730,1
6,11110570,무악동,1387391069.18239,144527,5,7,10618558.9353612,2124,0
7,11110550,부암동,3911023955.97484,95828,15,15,24438920.1520913,25934,0
8,11110530,사직동,9863280440.25157,148404,28,65,102314060.836502,317974,3
9,11110540,삼청동,2560141069.18239,214513,7,38,26140239.5437262,39852,0
10,11140520,소공동,12990190503.1447,197409,53,49,154949752.851711,555015,2
11,11110700,숭인1동,1525510566.03774,209853,7,9,22522646.3878327,32163,0
12,11110710,숭인2동,5788059496.85535,151725,28,40,49988003.8022814,32163,3
13,11140650,신당5동,2475137295.59748,140215,10,23,17119384.0304183,69434,0
14,11140615,신당동,9062022006.28931,336315,35,121,87332653.9923954,262370,3
15,11140635,약수동,4099553207.54717,141717,12,16,38017444.8669202,112750,0
16,11140605,을지로동,7212364025.15723,191731,34,135,74199323.1939164,249460,3
17,11110640,이화동,9747114150.9434,195935,22,32,83760821.2927757,221275,3
18,11140580,장충동,3927657672.95598,90678,17,15,66853011.4068441,112750,0
19,11110615,종로1.2.3.4가동,36021429484.2767,256719,117,264,249001927.756654,676176,1
20,11110630,종로5.6가동,6645655911.94969,250117,26,114,61774110.2661597,88319,3
21,11140680,중림동,4096985345.91195,158501,14,26,50121463.878327,64901,0
22,11110670,창신1동,3489988301.88679,187380,11,42,26754003.8022814,44970,0
23,11110680,창신2동,1743754654.08805,87622,3,26,9228307.98479087,22290,0
24,11110690,창신3동,919522452.830189,76336,3,10,6301266.15969582,22290,0
25,11140645,청구동,1950107421.38365,125751,7,15,22807711.026616,112750,0
26,11110515,청운효자동,2393725660.37736,149361,12,33,38227923.9543726,69434,0
27,11110560,평창동,2754756918.23899,116378,16,22,33291904.9429658,43306,0
28,11140570,필동,8789035974.84277,136296,33,39,74342524.7148289,121194,3
29,11110650,혜화동,17270405572.327,170041,38,46,68440593.1558935,228649,2
30,11140670,황학동,3921043584.90566,146766,14,43,24611749.0494297,39172,0
31,11140540,회현동,12275654654.0881,392637,45,324,154343098.859316,113872,2
